input,rank,,
medium-277,174,,
small-277,174,,
large-277,171,,bad inputs:
medium-129,171,,277
large-129,164,,129
medium-132,164,,132
large-114,162,,114
small-106,159,,132
large-132,156,,
large-364,155,,
small-86,153,,
large-168,150,,
small-19,150,,
large-19,147,,
large-94,147,,
small-258,143,,
small-114,138,,
large-356,132,,
large-342,131,,
large-352,130,,
large-353,130,,
large-354,128,,
large-365,128,,
large-367,128,,
small-200,128,,
large-343,127,,
large-370,127,,
large-348,126,,
small-260,126,,
large-362,125,,
large-357,124,,
large-359,123,,
small-211,123,,
large-116,122,,
large-344,122,,
large-355,122,,
large-363,122,,
large-191,121,,
large-341,121,,
large-350,121,,
large-360,121,,
large-347,120,,
large-366,119,,
large-332,118,,
large-326,117,,
large-309,116,,
large-335,116,,
medium-117,115,,
large-349,114,,
large-185,113,,
large-345,113,,
large-25,112,,
large-224,111,,
large-358,111,,
large-368,111,,
large-369,111,,
small-77,111,,
large-346,110,,
large-351,110,,
large-327,109,,
medium-173,108,,
large-307,106,,
large-200,105,,
medium-23,104,,
large-141,103,,
large-361,103,,
large-89,103,,
medium-30,103,,
small-126,102,,
large-371,99,,
large-373,99,,
large-390,99,,
large-395,99,,
large-374,98,,
large-382,98,,
large-388,98,,
medium-130,98,,
medium-46,98,,
small-198,98,,
large-325,97,,
large-400,97,,
large-117,96,,
large-330,96,,
large-144,95,,
large-393,94,,
medium-211,94,,
large-1,93,,
large-27,93,,
large-337,93,,
large-397,93,,
large-66,93,,
large-244,92,,
large-286,92,,
medium-212,91,,
medium-218,91,,
small-291,91,,
large-163,90,,
large-383,90,,
large-389,90,,
medium-200,90,,
large-287,89,,
large-97,89,,
medium-118,89,,
small-179,89,,
small-216,89,,
large-317,88,,
large-331,88,,
large-398,87,,
small-182,87,,
large-230,86,,
large-310,86,,
large-375,86,,
small-116,86,,
large-18,85,,
large-384,85,,
small-176,85,,
large-308,84,,
large-316,84,,
large-381,84,,
large-6,84,,
medium-114,84,,
large-379,83,,
large-380,83,,
large-377,82,,
large-387,82,,
large-399,82,,
small-199,82,,
large-283,81,,
large-392,81,,
large-55,81,,
large-93,81,,
small-287,81,,
large-274,80,,
small-228,80,,
large-216,79,,
large-323,79,,
medium-116,79,,
medium-279,79,,
large-15,78,,
large-234,78,,
large-304,78,,
large-338,78,,
medium-17,78,,
medium-223,78,,
large-150,76,,
large-241,76,,
large-275,76,,
large-340,76,,
large-318,75,,
large-378,75,,
large-386,75,,
small-11,75,,
small-129,75,,
small-141,75,,
small-45,75,,
large-329,74,,
large-35,74,,
medium-163,74,,
large-31,73,,
large-8,73,,
medium-168,73,,
medium-287,73,,
small-234,73,,
large-178,72,,
large-315,72,,
large-320,72,,
large-321,72,,
large-391,72,,
medium-124,72,,
medium-161,72,,
large-172,71,,
large-372,71,,
large-77,71,,
medium-231,71,,
large-119,70,,
large-154,70,,
large-202,70,,
large-295,70,,
large-394,70,,
medium-251,70,,
large-180,69,,
large-385,69,,
medium-128,69,,
large-139,68,,
medium-288,68,,
large-211,67,,
large-218,67,,
large-319,67,,
large-328,67,,
medium-181,67,,
medium-274,67,,
large-124,66,,
large-152,66,,
medium-285,66,,
small-72,66,,
large-206,65,,
large-214,65,,
large-220,65,,
large-233,65,,
large-313,65,,
large-396,65,,
medium-37,65,,
medium-57,65,,
medium-82,65,,
small-161,65,,
large-336,64,,
large-39,64,,
medium-194,64,,
large-174,63,,
large-182,63,,
large-339,63,,
large-376,63,,
large-4,63,,
medium-11,63,,
medium-162,63,,
medium-206,63,,
medium-120,62,,
medium-21,62,,
large-11,61,,
large-155,61,,
large-270,61,,
large-288,61,,
large-311,61,,
large-38,61,,
large-51,61,,
large-88,61,,
medium-100,61,,
small-21,61,,
large-243,60,,
large-260,60,,
large-57,60,,
large-79,60,,
medium-217,60,,
small-117,60,,
small-119,60,,
large-225,59,,
large-239,59,,
large-262,59,,
large-266,59,,
large-28,59,,
large-72,59,,
medium-150,59,,
medium-151,59,,
medium-22,59,,
medium-225,59,,
small-272,59,,
large-126,58,,
medium-133,58,,
medium-295,58,,
large-12,57,,
medium-31,57,,
medium-42,57,,
medium-92,57,,
small-15,57,,
small-278,57,,
large-145,56,,
large-146,56,,
large-157,56,,
large-169,56,,
large-255,56,,
large-36,56,,
large-78,56,,
large-121,55,,
large-135,55,,
large-226,55,,
large-232,55,,
large-256,55,,
large-181,54,,
large-322,54,,
large-47,54,,
medium-146,54,,
small-233,54,,
small-263,54,,
large-217,53,,
large-237,53,,
large-43,53,,
large-73,53,,
medium-136,53,,
medium-242,53,,
medium-301,53,,
small-196,53,,
large-10,52,,
large-16,52,,
large-199,52,,
medium-147,52,,
medium-4,52,,
small-242,52,,
small-7,52,,
large-143,51,,
large-194,51,,
large-42,51,,
medium-1,51,,
medium-112,51,,
medium-202,51,,
medium-47,51,,
medium-99,51,,
large-188,50,,
large-198,50,,
large-37,50,,
medium-155,50,,
medium-253,50,,
medium-84,50,,
small-18,50,,
small-251,50,,
large-228,49,,
large-238,49,,
large-301,49,,
large-81,49,,
medium-184,49,,
medium-213,49,,
medium-270,49,,
small-17,49,,
large-45,48,,
medium-16,48,,
medium-166,48,,
medium-174,48,,
medium-266,48,,
small-130,48,,
large-133,47,,
medium-214,47,,
medium-291,47,,
large-120,46,,
large-267,46,,
large-99,46,,
medium-215,46,,
medium-66,46,,
medium-67,46,,
small-212,46,,
large-186,45,,
large-231,45,,
large-46,45,,
large-53,45,,
medium-119,45,,
medium-293,45,,
medium-63,45,,
small-133,45,,
small-288,45,,
small-63,45,,
large-213,44,,
large-246,44,,
large-40,44,,
large-14,43,,
large-195,43,,
large-279,43,,
large-299,43,,
large-58,43,,
large-82,43,,
large-91,43,,
medium-246,43,,
medium-299,43,,
small-210,43,,
large-113,42,,
large-167,42,,
large-297,42,,
large-305,42,,
large-63,42,,
large-83,42,,
medium-192,42,,
medium-256,42,,
medium-271,42,,
medium-294,42,,
large-156,41,,
large-253,41,,
medium-113,41,,
medium-188,41,,
medium-230,41,,
medium-55,41,,
medium-83,41,,
small-253,41,,
large-183,40,,
large-264,40,,
large-314,40,,
medium-106,40,,
medium-122,40,,
large-17,39,,
large-227,39,,
large-254,39,,
medium-15,39,,
medium-154,39,,
medium-180,39,,
small-191,39,,
small-266,39,,
small-39,39,,
large-136,38,,
large-166,38,,
large-312,38,,
large-95,38,,
medium-126,38,,
medium-38,38,,
medium-156,37,,
medium-182,37,,
small-136,37,,
small-237,37,,
small-82,37,,
large-130,36,,
large-21,36,,
large-59,36,,
medium-169,36,,
medium-176,36,,
medium-186,36,,
medium-261,36,,
medium-7,36,,
large-162,35,,
medium-18,35,,
medium-27,35,,
small-134,35,,
small-155,35,,
small-231,35,,
large-247,34,,
large-285,34,,
large-333,34,,
large-64,34,,
medium-141,34,,
medium-247,34,,
medium-49,34,,
medium-78,34,,
small-150,34,,
small-81,34,,
large-161,33,,
large-96,33,,
medium-195,33,,
medium-237,33,,
large-137,32,,
large-151,32,,
large-294,32,,
large-67,32,,
small-41,32,,
large-112,31,,
large-258,31,,
large-147,30,,
large-160,30,,
large-242,30,,
large-334,30,,
medium-45,30,,
small-186,30,,
small-89,30,,
large-306,29,,
large-61,29,,
large-65,29,,
large-70,29,,
medium-160,29,,
medium-65,29,,
small-166,29,,
large-118,28,,
medium-34,28,,
medium-39,28,,
large-101,27,,
large-291,27,,
large-7,27,,
medium-185,27,,
medium-89,27,,
large-49,26,,
medium-135,26,,
medium-143,26,,
medium-191,26,,
small-16,26,,
large-176,25,,
large-22,25,,
large-86,25,,
medium-75,25,,
medium-222,24,,
medium-255,24,,
medium-77,24,,
small-239,24,,
medium-72,23,,
large-187,22,,
large-201,22,,
large-251,22,,
large-75,22,,
large-84,22,,
medium-238,22,,
medium-95,22,,
small-274,22,,
large-106,21,,
medium-177,21,,
medium-233,21,,
small-301,21,,
large-177,20,,
medium-275,20,,
large-48,19,,
large-122,18,,
large-278,18,,
large-30,18,,
large-324,18,,
medium-172,18,,
medium-28,18,,
medium-51,18,,
large-104,17,,
medium-183,17,,
medium-226,17,,
large-34,16,,
medium-43,16,,
medium-264,14,,
medium-232,13,,
small-43,13,,
medium-137,12,,
large-80,10,,
medium-178,9,,
medium-64,9,,
small-99,9,,
medium-254,7,,
medium-115,3,,
large-100,1,,
large-102,1,,
large-103,1,,
large-105,1,,
large-107,1,,
large-108,1,,
large-109,1,,
large-110,1,,
large-111,1,,
large-115,1,,
large-123,1,,
large-125,1,,
large-127,1,,
large-128,1,,
large-13,1,,
large-131,1,,
large-134,1,,
large-138,1,,
large-140,1,,
large-142,1,,
large-148,1,,
large-149,1,,
large-153,1,,
large-158,1,,
large-159,1,,
large-164,1,,
large-165,1,,
large-170,1,,
large-171,1,,
large-173,1,,
large-175,1,,
large-179,1,,
large-184,1,,
large-189,1,,
large-190,1,,
large-192,1,,
large-193,1,,
large-196,1,,
large-197,1,,
large-2,1,,
large-20,1,,
large-203,1,,
large-204,1,,
large-205,1,,
large-207,1,,
large-208,1,,
large-209,1,,
large-210,1,,
large-212,1,,
large-215,1,,
large-219,1,,
large-221,1,,
large-222,1,,
large-223,1,,
large-229,1,,
large-23,1,,
large-235,1,,
large-236,1,,
large-24,1,,
large-240,1,,
large-245,1,,
large-248,1,,
large-249,1,,
large-250,1,,
large-252,1,,
large-257,1,,
large-259,1,,
large-26,1,,
large-261,1,,
large-263,1,,
large-265,1,,
large-268,1,,
large-269,1,,
large-271,1,,
large-272,1,,
large-273,1,,
large-276,1,,
large-280,1,,
large-281,1,,
large-282,1,,
large-284,1,,
large-289,1,,
large-29,1,,
large-290,1,,
large-292,1,,
large-293,1,,
large-296,1,,
large-298,1,,
large-3,1,,
large-300,1,,
large-302,1,,
large-303,1,,
large-32,1,,
large-33,1,,
large-41,1,,
large-44,1,,
large-5,1,,
large-50,1,,
large-52,1,,
large-54,1,,
large-56,1,,
large-60,1,,
large-62,1,,
large-68,1,,
large-69,1,,
large-71,1,,
large-74,1,,
large-76,1,,
large-85,1,,
large-87,1,,
large-9,1,,
large-90,1,,
large-92,1,,
large-98,1,,
medium-10,1,,
medium-101,1,,
medium-102,1,,
medium-103,1,,
medium-104,1,,
medium-105,1,,
medium-107,1,,
medium-108,1,,
medium-109,1,,
medium-110,1,,
medium-111,1,,
medium-12,1,,
medium-121,1,,
medium-123,1,,
medium-125,1,,
medium-127,1,,
medium-13,1,,
medium-131,1,,
medium-134,1,,
medium-138,1,,
medium-139,1,,
medium-14,1,,
medium-140,1,,
medium-142,1,,
medium-144,1,,
medium-145,1,,
medium-148,1,,
medium-149,1,,
medium-152,1,,
medium-153,1,,
medium-157,1,,
medium-158,1,,
medium-159,1,,
medium-164,1,,
medium-165,1,,
medium-167,1,,
medium-170,1,,
medium-171,1,,
medium-175,1,,
medium-179,1,,
medium-187,1,,
medium-189,1,,
medium-19,1,,
medium-190,1,,
medium-193,1,,
medium-196,1,,
medium-197,1,,
medium-198,1,,
medium-199,1,,
medium-2,1,,
medium-20,1,,
medium-201,1,,
medium-203,1,,
medium-204,1,,
medium-205,1,,
medium-207,1,,
medium-208,1,,
medium-209,1,,
medium-210,1,,
medium-216,1,,
medium-219,1,,
medium-220,1,,
medium-221,1,,
medium-224,1,,
medium-227,1,,
medium-228,1,,
medium-229,1,,
medium-234,1,,
medium-235,1,,
medium-236,1,,
medium-239,1,,
